family	gene	coordinates
LRR_1	TraAM80_07649	8982-9909
LRR_1	TraAM80_08302	6541-9649
LRR_1	TraAM80_06152	9441-11508
LRR_1	TraAM80_00066	139856-142367
LRR_1	TraAM80_04100	4578-5904
LRR_1	TraAM80_05525	37019-38384
LRR_1	TraAM80_03890	31073-32024
LRR_1	TraAM80_02664	57160-58213
LRR_1	TraAM80_07187	16538-18428
LRR_1	TraAM80_05717	0-1179
LRR_1	TraAM80_05555	28049-30185
LRR_1	TraAM80_05095	825-2748
LRR_1	TraAM80_01345	6915-9405
LRR_1	TraAM80_01009	63317-64493
LRR_1	TraAM80_04464	2219-3593
LRR_1	TraAM80_01140	87735-91575
LRR_1	TraAM80_07888	8468-10658
LRR_1	TraAM80_08008	10259-11195
LRR_1	TraAM80_01004	40866-44823
LRR_1	TraAM80_08868	3365-4610
LRR_1	TraAM80_09359	5150-8393
LRR_1	TraAM80_01481	34819-36709
LRR_1	TraAM80_02014	3925-5038
LRR_1	TraAM80_07502	19904-21155
LRR_1	TraAM80_05447	11017-11671
LRR_1	TraAM80_02509	18564-20784
LRR_1	TraAM80_03098	21229-27094
LRR_1	TraAM80_06068	30179-30869
LRR_1	TraAM80_05523	34380-35649
LRR_1	TraAM80_05079	7931-10739
LRR_1	TraAM80_01100	4129-5098
LRR_1	TraAM80_02598	58206-61107
LRR_1	TraAM80_05710	10437-12174
LRR_1	TraAM80_04236	16595-17735
LRR_1	TraAM80_01498	75676-78430
LRR_1	TraAM80_00997	25478-25814
LRR_1	TraAM80_08292	4052-5261
LRR_1	TraAM80_04812	40809-42366
LRR_1	TraAM80_06803	20898-21531
LRR_1	TraAM80_03825	6828-8490
LRR_1	TraAM80_03668	6741-8076
LRR_1	TraAM80_04422	21063-21969
LRR_1	TraAM80_05488	15616-16924
LRR_4	TraAM80_00293	31731-36183
LRR_4	TraAM80_00066	139856-142367
LRR_4	TraAM80_08292	4052-5261
LRR_4	TraAM80_01990	27784-32290
LRR_4	TraAM80_01498	75676-78430
LRR_4	TraAM80_07187	16538-18428
LRR_4	TraAM80_05870	21786-23046
LRR_4	TraAM80_06803	20898-21531
LRR_4	TraAM80_06981	4912-6808
LRR_4	TraAM80_06068	30179-30869
LRR_4	TraAM80_05525	37019-38384
LRR_4	TraAM80_04464	2219-3593
LRR_4	TraAM80_03389	27549-29016
LRR_4	TraAM80_01427	6859-8623
LRR_4	TraAM80_03246	43136-43886
LRR_4	TraAM80_01345	6915-9405
LRR_4	TraAM80_08331	2020-3082
LRR_4	TraAM80_05488	15616-16924
LRR_4	TraAM80_02598	58206-61107
LRR_4	TraAM80_03825	6828-8490
LRR_4	TraAM80_03048	42016-42715
LRR_4	TraAM80_09359	5150-8393
LRR_4	TraAM80_04236	16595-17735
LRR_4	TraAM80_04100	4578-5904
LRR_4	TraAM80_00312	71655-72906
LRR_4	TraAM80_02509	18564-20784
LRR_4	TraAM80_01004	40866-44823
LRR_4	TraAM80_08583	7274-9890
LRR_4	TraAM80_00651	10888-11359
LRR_4	TraAM80_01009	63317-64493
LRR_4	TraAM80_04884	21519-23031
LRR_4	TraAM80_05079	7931-10739
LRR_4	TraAM80_00248	30974-32411
LRR_4	TraAM80_07502	19904-21155
LRR_4	TraAM80_04812	40809-42366
LRR_4	TraAM80_04422	21063-21969
LRR_4	TraAM80_04940	22516-23581
LRR_4	TraAM80_01140	87735-91575
LRR_4	TraAM80_01856	64155-64560
LRR_4	TraAM80_05369	9493-11713
LRR_4	TraAM80_02861	44747-46151
LRR_4	TraAM80_05710	10437-12174
LRR_4	TraAM80_04424	23870-24605
LRR_4	TraAM80_04800	0-2728
LRR_4	TraAM80_06152	9441-11508
LRR_4	TraAM80_01541	58140-58590
LRR_4	TraAM80_07664	14280-14913
LRR_4	TraAM80_00164	18481-20539
LRR_4	TraAM80_05095	825-2748
LRR_4	TraAM80_02014	3925-5038
LRR_4	TraAM80_02436	68090-69053
LRR_4	TraAM80_08302	6541-9649
LRR_4	TraAM80_07888	8468-10658
LRR_4	TraAM80_08663	6273-10443
LRR_4	TraAM80_03890	31073-32024
LRR_4	TraAM80_02087	52603-54349
LRR_4	TraAM80_00456	28048-30424
LRR_4	TraAM80_05717	0-1179
LRR_4	TraAM80_07649	8982-9909
LRR_4	TraAM80_05450	15672-18402
LRR_4	TraAM80_08153	6165-7917
LRR_4	TraAM80_05205	11287-12478
LRR_4	TraAM80_02181	71819-73157
LRR_4	TraAM80_08868	3365-4610
LRR_4	TraAM80_01481	34819-36709
LRR_4	TraAM80_02228	29537-30719
LRR_4	TraAM80_07099	21397-22273
LRR_4	TraAM80_04598	39370-39835
LRR_4	TraAM80_05309	21470-23096
LRR_4	TraAM80_03668	6741-8076
LRR_4	TraAM80_08008	10259-11195
LRR_4	TraAM80_05707	2972-5627
LRR_4	TraAM80_04600	40374-40818
LRR_4	TraAM80_05962	14555-15269
LRR_4	TraAM80_05959	6386-8135
LRR_4	TraAM80_03536	5213-5768
LRR_4	TraAM80_01452	68397-69432
LRR_4	TraAM80_01100	4129-5098
LRR_4	TraAM80_03098	21229-27094
LRR_4	TraAM80_05555	28049-30185
LRR_4	TraAM80_03505	1581-3090
LRR_4	TraAM80_08276	8208-11526
LRR_6	TraAM80_09359	5150-8393
LRR_6	TraAM80_08331	2020-3082
LRR_6	TraAM80_02181	71819-73157
LRR_6	TraAM80_05369	9493-11713
LRR_6	TraAM80_08583	7274-9890
LRR_6	TraAM80_01541	58140-58590
LRR_6	TraAM80_02014	3925-5038
LRR_6	TraAM80_07888	8468-10658
LRR_6	TraAM80_00312	71655-72906
LRR_6	TraAM80_07649	8982-9909
LRR_6	TraAM80_05205	11287-12478
LRR_6	TraAM80_04884	21519-23031
LRR_6	TraAM80_00066	139856-142367
LRR_6	TraAM80_06152	9441-11508
LRR_6	TraAM80_08276	8208-11526
LRR_6	TraAM80_01252	6473-6995
LRR_6	TraAM80_01481	34819-36709
LRR_6	TraAM80_04600	40374-40818
LRR_6	TraAM80_05717	0-1179
LRR_6	TraAM80_08153	6165-7917
LRR_6	TraAM80_02367	22561-23053
LRR_6	TraAM80_01856	64155-64560
LRR_6	TraAM80_04100	4578-5904
LRR_6	TraAM80_05095	825-2748
LRR_6	TraAM80_01452	68397-69432
LRR_6	TraAM80_03246	43136-43886
LRR_6	TraAM80_08868	3365-4610
LRR_6	TraAM80_08292	4052-5261
LRR_6	TraAM80_03536	5213-5768
LRR_6	TraAM80_08008	10259-11195
LRR_6	TraAM80_00507	42187-43159
LRR_6	TraAM80_08663	6273-10443
LRR_6	TraAM80_05525	37019-38384
LRR_6	TraAM80_04598	39370-39835
LRR_6	TraAM80_01009	63317-64493
LRR_6	TraAM80_01100	4129-5098
LRR_6	TraAM80_02664	57160-58213
LRR_6	TraAM80_05309	21470-23096
LRR_6	TraAM80_01004	40866-44823
LRR_6	TraAM80_06981	4912-6808
LRR_6	TraAM80_05555	28049-30185
LRR_6	TraAM80_04464	2219-3593
LRR_6	TraAM80_03890	31073-32024
LRR_6	TraAM80_04422	21063-21969
LRR_6	TraAM80_04940	22516-23581
LRR_6	TraAM80_01990	27784-32290
LRR_6	TraAM80_03098	21229-27094
LRR_6	TraAM80_01427	6859-8623
LRR_6	TraAM80_00293	31731-36183
LRR_6	TraAM80_02509	18564-20784
LRR_6	TraAM80_04208	44931-47349
LRR_6	TraAM80_04236	16595-17735
LRR_6	TraAM80_03668	6741-8076
LRR_6	TraAM80_04594	31213-35263
LRR_6	TraAM80_05870	21786-23046
LRR_6	TraAM80_02436	68090-69053
LRR_6	TraAM80_01498	75676-78430
LRR_6	TraAM80_05710	10437-12174
LRR_6	TraAM80_03825	6828-8490
LRR_6	TraAM80_02861	44747-46151
LRR_6	TraAM80_06842	519-2379
LRR_6	TraAM80_07187	16538-18428
LRR_6	TraAM80_07099	21397-22273
LRR_6	TraAM80_04812	40809-42366
LRR_6	TraAM80_00651	10888-11359
LRR_6	TraAM80_01345	6915-9405
LRR_6	TraAM80_05523	34380-35649
LRR_6	TraAM80_05488	15616-16924
LRR_6	TraAM80_04800	0-2728
LRR_6	TraAM80_03389	27549-29016
LRR_6	TraAM80_02598	58206-61107
LRR_6	TraAM80_05079	7931-10739
LRR_6	TraAM80_01140	87735-91575
LRR_8	TraAM80_00293	31731-36183
LRR_8	TraAM80_03048	42016-42715
LRR_8	TraAM80_02598	58206-61107
LRR_8	TraAM80_08292	4052-5261
LRR_8	TraAM80_05870	21786-23046
LRR_8	TraAM80_01345	6915-9405
LRR_8	TraAM80_07187	16538-18428
LRR_8	TraAM80_00066	139856-142367
LRR_8	TraAM80_01990	27784-32290
LRR_8	TraAM80_01140	87735-91575
LRR_8	TraAM80_02436	68090-69053
LRR_8	TraAM80_05525	37019-38384
LRR_8	TraAM80_03825	6828-8490
LRR_8	TraAM80_04236	16595-17735
LRR_8	TraAM80_03246	43136-43886
LRR_8	TraAM80_01009	63317-64493
LRR_8	TraAM80_07664	14280-14913
LRR_8	TraAM80_05488	15616-16924
LRR_8	TraAM80_00651	10888-11359
LRR_8	TraAM80_02509	18564-20784
LRR_8	TraAM80_06803	20898-21531
LRR_8	TraAM80_05079	7931-10739
LRR_8	TraAM80_08331	2020-3082
LRR_8	TraAM80_01498	75676-78430
LRR_8	TraAM80_04464	2219-3593
LRR_8	TraAM80_06981	4912-6808
LRR_8	TraAM80_00312	71655-72906
LRR_8	TraAM80_08302	6541-9649
LRR_8	TraAM80_04812	40809-42366
LRR_8	TraAM80_06068	30179-30869
LRR_8	TraAM80_01427	6859-8623
LRR_8	TraAM80_04422	21063-21969
LRR_8	TraAM80_02861	44747-46151
LRR_8	TraAM80_00164	18481-20539
LRR_8	TraAM80_04100	4578-5904
LRR_8	TraAM80_01004	40866-44823
LRR_8	TraAM80_01856	64155-64560
LRR_8	TraAM80_00248	30974-32411
LRR_8	TraAM80_06152	9441-11508
LRR_8	TraAM80_04800	0-2728
LRR_8	TraAM80_07099	21397-22273
LRR_8	TraAM80_07502	19904-21155
LRR_8	TraAM80_08868	3365-4610
LRR_8	TraAM80_05710	10437-12174
LRR_8	TraAM80_05205	11287-12478
LRR_8	TraAM80_03536	5213-5768
LRR_8	TraAM80_05450	15672-18402
LRR_8	TraAM80_04424	23870-24605
LRR_8	TraAM80_03098	21229-27094
LRR_8	TraAM80_01541	58140-58590
LRR_8	TraAM80_07649	8982-9909
LRR_8	TraAM80_05095	825-2748
LRR_8	TraAM80_04940	22516-23581
LRR_8	TraAM80_08583	7274-9890
LRR_8	TraAM80_05447	11017-11671
LRR_8	TraAM80_04884	21519-23031
LRR_8	TraAM80_04598	39370-39835
LRR_8	TraAM80_02014	3925-5038
LRR_8	TraAM80_02087	52603-54349
LRR_8	TraAM80_09359	5150-8393
LRR_8	TraAM80_03668	6741-8076
LRR_8	TraAM80_08663	6273-10443
LRR_8	TraAM80_07888	8468-10658
LRR_8	TraAM80_05717	0-1179
LRR_8	TraAM80_02228	29537-30719
LRR_8	TraAM80_05309	21470-23096
LRR_8	TraAM80_00997	25478-25814
LRR_8	TraAM80_05369	9493-11713
LRR_8	TraAM80_05555	28049-30185
LRR_8	TraAM80_01481	34819-36709
LRR_8	TraAM80_00456	28048-30424
LRR_8	TraAM80_02181	71819-73157
LRR_9	TraAM80_00293	31731-36183
LRR_9	TraAM80_00997	25478-25814
LRR_9	TraAM80_05488	15616-16924
LRR_9	TraAM80_08292	4052-5261
LRR_9	TraAM80_00651	10888-11359
LRR_9	TraAM80_03825	6828-8490
LRR_9	TraAM80_06068	30179-30869
LRR_9	TraAM80_05079	7931-10739
LRR_9	TraAM80_01498	75676-78430
LRR_9	TraAM80_06803	20898-21531
LRR_9	TraAM80_01427	6859-8623
LRR_9	TraAM80_04236	16595-17735
LRR_9	TraAM80_07099	21397-22273
LRR_9	TraAM80_06981	4912-6808
LRR_9	TraAM80_05870	21786-23046
LRR_9	TraAM80_01990	27784-32290
LRR_9	TraAM80_05962	14555-15269
LRR_9	TraAM80_05450	15672-18402
LRR_9	TraAM80_04464	2219-3593
LRR_9	TraAM80_05959	6386-8135
LRR_9	TraAM80_07187	16538-18428
LRR_9	TraAM80_02598	58206-61107
LRR_9	TraAM80_02861	44747-46151
LRR_9	TraAM80_03246	43136-43886
LRR_9	TraAM80_00248	30974-32411
LRR_9	TraAM80_02509	18564-20784
LRR_9	TraAM80_04812	40809-42366
LRR_9	TraAM80_04424	23870-24605
LRR_9	TraAM80_05525	37019-38384
LRR_9	TraAM80_04580	3974-4643
LRR_9	TraAM80_04422	21063-21969
LRR_9	TraAM80_04800	0-2728
LRR_9	TraAM80_00066	139856-142367
LRR_9	TraAM80_02087	52603-54349
LRR_9	TraAM80_07502	19904-21155
Mad3_BUB1_I	TraAM80_05350	12960-16296
Mad3_BUB1_I	TraAM80_02464	41364-45474
Mad3_BUB1_I	TraAM80_00004	9449-11756
Mad3_BUB1_I	TraAM80_01915	24608-28055
Mad3_BUB1_I	TraAM80_05434	28921-29239
Mago_nashi	TraAM80_03835	19520-20018
Mago_nashi	TraAM80_08270	2316-3288
MATH	TraAM80_07312	5078-7412
MCRS_N	TraAM80_01028	21671-22604
Menin	TraAM80_08575	8666-9338
Menin	TraAM80_02252	19040-19790
Menin	TraAM80_09018	1976-2519
Metallophos	TraAM80_00828	85816-86728
Metallophos	TraAM80_03457	32561-33608
Metallophos	TraAM80_01495	69379-70291
Metallophos	TraAM80_04227	1001-1430
Metallophos	TraAM80_00739	62991-64014
Metallophos	TraAM80_06762	14603-15461
Metallophos	TraAM80_02188	12204-13125
Metallophos	TraAM80_06758	6435-7104
Metallophos	TraAM80_00347	9245-10592
Metallophos	TraAM80_01877	24212-26414
Metallophos	TraAM80_02925	33400-34603
Metallophos	TraAM80_10053	490-3274
Metallophos	TraAM80_06671	11280-12465
Metallophos	TraAM80_01539	55142-57056
Metallophos	TraAM80_00263	81161-82442
Metallophos	TraAM80_02816	17083-18391
Metallophos	TraAM80_02234	46138-47971
Metallophos	TraAM80_08308	5197-6997
Metallophos	TraAM80_07813	10670-15185
Metallophos	TraAM80_00318	86434-88750
Metallophos	TraAM80_05132	29120-30611
Metallophos	TraAM80_04118	8664-9975
Metallophos	TraAM80_08549	2001-4044
Metallophos	TraAM80_00773	59097-60663
Metallophos	TraAM80_04361	25673-27929
Metallophos	TraAM80_03134	50658-51387
Metallophos	TraAM80_07582	7668-9657
Metallophos	TraAM80_00977	73869-74331
Metallophos	TraAM80_02390	18996-20238
Metallophos	TraAM80_04571	36808-38401
Metallophos	TraAM80_07402	1365-2766
Metallophos	TraAM80_08424	9815-10145
Metallophos	TraAM80_06895	1704-2028
Metallophos	TraAM80_04895	37794-39261
Metallophos	TraAM80_07255	13375-14623
Metallophos	TraAM80_05921	32150-35528
Metallophos	TraAM80_07681	8453-8831
Metallophos	TraAM80_00872	74590-76402
Methyltransf_11	TraAM80_00755	7019-8666
Methyltransf_11	TraAM80_07876	4130-6044
Methyltransf_11	TraAM80_02413	9567-10401
Methyltransf_11	TraAM80_03229	9229-13153
Methyltransf_11	TraAM80_05817	9018-9792
Methyltransf_11	TraAM80_02648	24476-28376
Methyltransf_11	TraAM80_06328	9790-10447
Methyltransf_11	TraAM80_07849	14260-15298
Methyltransf_11	TraAM80_02819	22644-23790
Methyltransf_11	TraAM80_00093	28737-29499
Methyltransf_11	TraAM80_02253	20619-21633
Methyltransf_11	TraAM80_05915	20552-21668
Methyltransf_11	TraAM80_09864	2878-3670
Methyltransf_11	TraAM80_06928	5972-6785
Methyltransf_11	TraAM80_08668	6064-7306
Methyltransf_11	TraAM80_03649	15299-16925
Methyltransf_11	TraAM80_03082	49470-51738
Methyltransf_11	TraAM80_03625	12813-13962
Methyltransf_11	TraAM80_02554	44683-45946
Methyltransf_11	TraAM80_08337	11268-12303
Methyltransf_11	TraAM80_04337	28996-29929
Methyltransf_11	TraAM80_00122	83568-84498
Methyltransf_11	TraAM80_04169	34770-35523
Methyltransf_11	TraAM80_01363	42203-43481
Methyltransf_11	TraAM80_02634	62989-63877
Methyltransf_11	TraAM80_07287	7311-8322
Methyltransf_11	TraAM80_07016	14879-16274
Methyltransf_11	TraAM80_09050	9785-10592
Methyltransf_11	TraAM80_06597	2413-3304
Methyltransf_11	TraAM80_00030	69584-70847
Methyltransf_11	TraAM80_08169	1683-3579
Methyltransf_11	TraAM80_02410	1537-3715
Methyltransf_11	TraAM80_04990	19433-20621
Methyltransf_11	TraAM80_05325	10332-12594
Methyltransf_11	TraAM80_03239	34639-35434
Methyltransf_11	TraAM80_03102	33298-34564
Methyltransf_11	TraAM80_06405	11863-12181
Methyltransf_11	TraAM80_08988	7195-10381
Methyltransf_16	TraAM80_07627	12778-13750
Methyltransf_16	TraAM80_01387	11743-12982
Methyltransf_16	TraAM80_02949	15533-16580
Methyltransf_16	TraAM80_02540	16087-17269
Methyltransf_16	TraAM80_08766	1262-2372
Methyltransf_16	TraAM80_02972	58091-59138
Methyltransf_16	TraAM80_00030	69584-70847
Methyltransf_16	TraAM80_01363	42203-43481
Methyltransf_16	TraAM80_02537	11965-14551
Methyltransf_18	TraAM80_02253	20619-21633
Methyltransf_18	TraAM80_00030	69584-70847
Methyltransf_18	TraAM80_04169	34770-35523
Methyltransf_18	TraAM80_07895	1089-1785
Methyltransf_18	TraAM80_08169	1683-3579
Methyltransf_31	TraAM80_02413	9567-10401
Methyltransf_31	TraAM80_00755	7019-8666
Methyltransf_31	TraAM80_07876	4130-6044
Methyltransf_31	TraAM80_07849	14260-15298
Methyltransf_31	TraAM80_02554	44683-45946
Methyltransf_31	TraAM80_02253	20619-21633
Methyltransf_31	TraAM80_09864	2878-3670
Methyltransf_31	TraAM80_02648	24476-28376
Methyltransf_31	TraAM80_04169	34770-35523
Methyltransf_31	TraAM80_03625	12813-13962
Methyltransf_31	TraAM80_00030	69584-70847
Methyltransf_31	TraAM80_08668	6064-7306
Methyltransf_31	TraAM80_07287	7311-8322
Methyltransf_31	TraAM80_04337	28996-29929
Methyltransf_31	TraAM80_05817	9018-9792
Methyltransf_31	TraAM80_02634	62989-63877
Methyltransf_31	TraAM80_06928	5972-6785
Methyltransf_31	TraAM80_06328	9790-10447
Methyltransf_31	TraAM80_03229	9229-13153
Methyltransf_31	TraAM80_07016	14879-16274
Methyltransf_31	TraAM80_02819	22644-23790
Methyltransf_31	TraAM80_03737	50079-50784
Methyltransf_31	TraAM80_07365	5995-6721
Methyltransf_31	TraAM80_03082	49470-51738
Methyltransf_31	TraAM80_00122	83568-84498
Methyltransf_31	TraAM80_00093	28737-29499
Methyltransf_31	TraAM80_03102	33298-34564
Methyltransf_31	TraAM80_06597	2413-3304
Methyltransf_31	TraAM80_01363	42203-43481
Methyltransf_31	TraAM80_03619	52500-54039
Methyltransf_31	TraAM80_06245	20040-20988
Methyltransf_31	TraAM80_05923	1109-2114
Methyltransf_31	TraAM80_07895	1089-1785
Methyltransf_31	TraAM80_08169	1683-3579
Methyltransf_31	TraAM80_01399	40570-42172
Methyltransf_31	TraAM80_07445	5045-6665
Methyltransf_31	TraAM80_08337	11268-12303
Methyltransf_31	TraAM80_10162	64-1210
Methyltransf_31	TraAM80_07262	231-993
Methyltransf_8	TraAM80_05915	20552-21668
Methyltransf_8	TraAM80_09864	2878-3670
Methyltransf_8	TraAM80_03649	15299-16925
Methyltransf_PK	TraAM80_00093	28737-29499
Methyltransf_PK	TraAM80_08071	13824-14538
Methyltransf_PK	TraAM80_04450	21027-23535
Methyltr_RsmB-F	TraAM80_07445	5045-6665
Methyltr_RsmB-F	TraAM80_05923	1109-2114
Methyltr_RsmB-F	TraAM80_01048	60710-63122
Methyltr_RsmB-F	TraAM80_01399	40570-42172
Methyltr_RsmB-F	TraAM80_02799	47150-49982
Methyltr_RsmB-F	TraAM80_04627	39910-42034
Methyltr_RsmB-F	TraAM80_06836	18661-19678
Methyltr_RsmB-F	TraAM80_03619	52500-54039
Methyltr_RsmB-F	TraAM80_04086	39237-39582
Methyltr_RsmB-F	TraAM80_04086	39237-39582
Methyltr_RsmB-F	TraAM80_00523	69983-73097
Methyltr_RsmB-F	TraAM80_05844	28855-29425
Methyltr_RsmB-F	TraAM80_04169	34770-35523
Methyltr_RsmB-F	TraAM80_08078	10437-10758
Methyltr_RsmB-F	TraAM80_08080	13669-15109
Methyltr_RsmB-F	TraAM80_03930	51112-52000
Mis14	TraAM80_10589	0-535
MMS1_N	TraAM80_06086	375-1083
MMS1_N	TraAM80_00838	4180-8491
MMS1_N	TraAM80_06447	19107-19434
MMS1_N	TraAM80_07583	11036-15242
MORN	TraAM80_00984	84670-85747
MORN	TraAM80_03993	34551-36624
MORN	TraAM80_04566	22433-27095
MORN	TraAM80_03588	481-3322
MORN	TraAM80_08100	15249-16482
MORN	TraAM80_08421	723-2577
MORN	TraAM80_09629	113-1547
MORN	TraAM80_00351	17529-17949
MORN	TraAM80_06096	28056-30405
MORN	TraAM80_08726	10322-11321
MORN	TraAM80_05904	5197-7543
MORN	TraAM80_03045	37202-37757
MORN	TraAM80_06389	22089-22617
MORN	TraAM80_08263	2900-5030
MORN	TraAM80_00858	50383-52306
MORN	TraAM80_06920	19848-21300
MORN	TraAM80_09095	9097-10603
MORN	TraAM80_04037	25430-29357
MORN	TraAM80_00160	10517-11732
MORN	TraAM80_08612	2591-4769
MORN	TraAM80_04406	33563-34832
MORN	TraAM80_03186	35941-38761
MOZ_SAS	TraAM80_01847	48434-49025
MOZ_SAS	TraAM80_02099	70259-71108
MOZ_SAS	TraAM80_06611	10886-12632
MOZ_SAS	TraAM80_03506	3457-5047
MRG	TraAM80_01283	58143-60270
MRG	TraAM80_06912	6968-7547
MutS_I	TraAM80_06680	25422-28464
MutS_I	TraAM80_06024	17163-19989
MutS_II	TraAM80_01928	53019-55560
MutS_III	TraAM80_04828	23690-24185
MutS_III	TraAM80_06680	25422-28464
MutS_III	TraAM80_01928	53019-55560
MutS_III	TraAM80_06024	17163-19989
MutS_III	TraAM80_03588	481-3322
MutS_III	TraAM80_10285	581-2573
MutS_IV	TraAM80_04828	23690-24185
MutS_IV	TraAM80_01928	53019-55560
MutS_IV	TraAM80_06024	17163-19989
MutS_IV	TraAM80_06680	25422-28464
MutS_IV	TraAM80_03588	481-3322
MutS_V	TraAM80_04828	23690-24185
MutS_V	TraAM80_06024	17163-19989
MutS_V	TraAM80_06680	25422-28464
MutS_V	TraAM80_01927	52241-53003
MutS_V	TraAM80_03588	481-3322
Myb_DNA-binding	TraAM80_07627	12778-13750
Myb_DNA-binding	TraAM80_04042	44858-46796
Myb_DNA-binding	TraAM80_04337	28996-29929
Myb_DNA-binding	TraAM80_01028	21671-22604
Myb_DNA-binding	TraAM80_06412	23089-24292
Myosin_head	TraAM80_07306	18517-22015
Myosin_head	TraAM80_09402	4400-7922
Myosin_head	TraAM80_06400	3667-4030
Myosin_head	TraAM80_07657	627-2874
Myosin_head	TraAM80_09636	945-4641
Myosin_head	TraAM80_01766	15400-19312
Myosin_head	TraAM80_04778	37952-38549
Myosin_head	TraAM80_07952	10125-12549
Myosin_TH1	TraAM80_07724	9196-9646
Myosin_TH1	TraAM80_07306	18517-22015
Myosin_TH1	TraAM80_05230	9708-10809
Myosin_TH1	TraAM80_06348	13397-14810
Myosin_TH1	TraAM80_02608	12002-13769
Myosin_TH1	TraAM80_03045	37202-37757
NAD_binding_11	TraAM80_08333	5432-6341
NAD_binding_11	TraAM80_01729	17894-19100
NAD_binding_11	TraAM80_09120	991-2974
NAD_binding_11	TraAM80_07095	13737-15177
NAD_binding_2	TraAM80_08333	5432-6341
NAD_binding_2	TraAM80_07095	13737-15177
NAD_binding_2	TraAM80_01729	17894-19100
NAD_binding_2	TraAM80_08020	2990-3773
NAD_binding_2	TraAM80_04433	36417-37350
NAD_binding_2	TraAM80_02381	68606-69236
NAD_binding_2	TraAM80_07694	5587-7966
NAD_binding_2	TraAM80_10006	3691-4321
NAD_binding_2	TraAM80_10003	2-815
NAD_binding_2	TraAM80_00525	74388-74949
NAP	TraAM80_03025	57967-59272
NAP	TraAM80_00465	46938-47970
NAP	TraAM80_09533	4506-5406
NAP	TraAM80_03585	46696-51655
NAP	TraAM80_09135	7085-7646
NAP	TraAM80_07808	19606-20013
Nipped-B_C	TraAM80_03516	17337-21312
Nipped-B_C	TraAM80_08867	447-2271
Nipped-B_C	TraAM80_06636	6969-8409
Noc2	TraAM80_03430	34238-36176
Nop	TraAM80_06018	5423-6575
Nop	TraAM80_03042	32179-33634
Nop	TraAM80_05753	31769-32921
Nop	TraAM80_05630	27083-27803
NuA4	TraAM80_03110	57751-58126
NuA4	TraAM80_04843	5749-7177
NuA4	TraAM80_06308	7392-9642
NUC202	TraAM80_06185	32336-32705
NUC202	TraAM80_07676	17138-20330
Nucleoplasmin	TraAM80_09913	1209-3699
Nucleoporin2	TraAM80_02582	24491-27893
Nup96	TraAM80_02582	24491-27893
OB_NTP_bind	TraAM80_09101	255-3438
OB_NTP_bind	TraAM80_05570	11367-11742
OB_NTP_bind	TraAM80_02846	16862-18593
OB_NTP_bind	TraAM80_01131	66390-68535
OB_NTP_bind	TraAM80_06541	11396-13247
OB_NTP_bind	TraAM80_06794	381-3438
OB_NTP_bind	TraAM80_04302	5620-7393
OB_NTP_bind	TraAM80_00974	67024-68764
OB_NTP_bind	TraAM80_04948	36189-40389
OCRE	TraAM80_07135	11737-12913
OCRE	TraAM80_00612	20255-21032
OST-HTH	TraAM80_08197	11658-13035
OST-HTH	TraAM80_02558	49194-50220
PABP	TraAM80_04261	14510-15107
PADR1	TraAM80_00715	5543-6698
PADR1	TraAM80_00674	45560-47090
Paf1	TraAM80_06832	9599-11129
Paf1	TraAM80_06176	16711-17740
Paf1	TraAM80_03308	23523-25842
Paf1	TraAM80_01173	47802-48465
PAPA-1	TraAM80_00021	54484-55006
PARG_cat	TraAM80_00580	59076-59451
PARP	TraAM80_05228	6248-7247
PARP_reg	TraAM80_05228	6248-7247
PAS	TraAM80_03020	38688-39024
PAS	TraAM80_07574	8823-11862
PAS	TraAM80_03319	49920-55107
PAS	TraAM80_10404	331-1915
PAS	TraAM80_06455	10395-15555
Paxillin	TraAM80_06003	13053-15639
PAZ	TraAM80_05116	2288-4910
PCAF_N	TraAM80_05391	6085-6439
PCNA_C	TraAM80_06027	24193-25063
PCNA_N	TraAM80_06027	24193-25063
Peptidase_C12	TraAM80_00300	45746-46679
Peptidase_C12	TraAM80_05433	28529-28922
Peptidase_C12	TraAM80_05434	28921-29239
Peptidase_C48	TraAM80_08552	10535-12710
Peptidase_C48	TraAM80_05949	19117-19762
Peptidase_M24	TraAM80_04012	18176-19652
Peptidase_M24	TraAM80_00453	24117-25302
Peptidase_M24	TraAM80_00203	79487-81281
Peptidase_M24	TraAM80_07804	9530-10940
Peptidase_M24	TraAM80_05840	20930-22076
Peptidase_M24	TraAM80_02303	54674-57734
Peptidase_M24	TraAM80_09129	7631-9167
PHD	TraAM80_03708	40648-42073
PHD	TraAM80_00198	65042-67811
PHD	TraAM80_03272	43066-43513
PHD	TraAM80_00036	83190-84432
PHD	TraAM80_06458	18322-21097
PHD	TraAM80_07847	11137-11689
PHD	TraAM80_03789	42149-43316
PHD	TraAM80_00173	28618-29152
PHD	TraAM80_01684	4371-5535
PHD	TraAM80_06046	24093-25491
PHD	TraAM80_04437	43296-43998
PHD	TraAM80_09352	1027-3100
PHD	TraAM80_02874	2855-3890
PHD	TraAM80_02726	60371-60986
PHD_2	TraAM80_05855	16958-21338
PI3_PI4_kinase	TraAM80_06630	24583-27004
PI3_PI4_kinase	TraAM80_07536	1466-8771
PI3_PI4_kinase	TraAM80_02673	11694-19476
PI3_PI4_kinase	TraAM80_04040	33250-41713
PI3_PI4_kinase	TraAM80_04693	22592-31151
